date,time,latitude,longitude,city,weather_condition,road_condition,severity,contributing_factor,traffic_condition,vehicle_type,age,gender
7/15/2007,4:42 PM,12.3714277,-1.5196603,Ouagadougou,cloudy,dry,medium,distracted driving,moderate,truck,39,Female
6/26/2008,6:48 PM,24.690585,115.264971,Xiaozhen,sunny,icy,low,distracted driving,light,SUV,74,Bigender
5/20/2001,7:58 PM,-8.618134,122.1916328,Wolomarang,rainy,snowy,medium,weather conditions,heavy,SUV,46,Female
11/11/2016,9:55 PM,39.2166313,77.6012162,Yingwusitang,rainy,wet,low,speeding,light,motorcycle,82,Male
8/21/2009,3:15 AM,-28.8241753,17.256296,Port Nolloth,cloudy,dry,medium,speeding,light,motorcycle,24,Male
3/15/2014,9:08 PM,46.239185,130.553343,Huanan,sunny,dry,high,speeding,moderate,truck,82,Male
3/23/2010,1:11 AM,47.278918,6.07097,Besançon,cloudy,wet,low,speeding,light,sedan,44,Male
10/23/2016,2:14 PM,18.9398354,96.4343621,Taungoo,rainy,icy,low,weather conditions,moderate,motorcycle,50,Female
6/16/2006,9:57 AM,53.4917756,29.3327582,Klichaw,sunny,wet,high,distracted driving,moderate,sedan,97,Female
3/23/2019,3:19 PM,-33.8807097,-57.3694285,Florencio Sánchez,sunny,wet,low,speeding,moderate,truck,44,Female
1/5/2000,7:30 PM,34.5750415,105.7751383,Changtian,cloudy,wet,low,weather conditions,light,sedan,44,Male
6/19/2017,9:50 PM,39.932164,116.456946,Nanjie,rainy,snowy,low,speeding,heavy,truck,56,Female
10/5/2000,1:11 AM,31.220367,121.424624,Changning,sunny,icy,low,distracted driving,moderate,truck,81,Male
10/11/2015,4:48 PM,24.803563,115.482733,Chiguang,snowy,wet,medium,distracted driving,moderate,truck,42,Female
9/3/2004,8:15 PM,46.880102,127.507824,Qing’an,rainy,icy,low,speeding,light,SUV,95,Male
9/6/2015,2:01 AM,37.0734616,-8.7751983,Burgau,cloudy,icy,high,distracted driving,heavy,motorcycle,22,Male
9/11/2009,10:41 AM,45.8299686,-64.2092372,Amherst,rainy,dry,medium,speeding,light,SUV,61,Male
9/29/2021,11:33 AM,30.663128,73.6658984,Basīrpur,snowy,snowy,high,distracted driving,heavy,SUV,57,Female
12/3/2010,4:11 PM,-34.6098701,-58.5668231,San Jorge,sunny,snowy,high,weather conditions,heavy,motorcycle,40,Male
4/12/2005,1:31 AM,49.99621,19.4374699,Zator,snowy,snowy,high,speeding,light,truck,92,Male
6/2/2016,3:43 AM,51.2036947,16.1523941,Złotoryja,cloudy,dry,medium,weather conditions,moderate,sedan,21,Male
4/5/2007,5:06 PM,33.195993,105.606648,Tuanshan,sunny,snowy,high,weather conditions,moderate,SUV,23,Male
10/6/2013,12:20 AM,51.86318,79.470665,Bastan,cloudy,icy,low,speeding,light,SUV,85,Female
1/5/2022,10:47 AM,46.294568,17.3742925,Pápa,rainy,icy,low,speeding,heavy,truck,31,Female
12/2/2019,8:23 PM,41.0213628,-80.6150117,Kalej,sunny,dry,medium,distracted driving,heavy,sedan,27,Female
11/18/2008,5:56 AM,31.700896,35.9510312,Al Jīzah,cloudy,dry,low,distracted driving,heavy,truck,32,Male
1/11/2000,8:55 PM,-32.6626805,-58.1295074,San Javier,sunny,snowy,low,weather conditions,moderate,motorcycle,84,Male
3/27/2021,10:11 PM,51.6710832,19.8078532,Rokiciny,cloudy,snowy,high,distracted driving,heavy,SUV,31,Male
3/5/2012,10:00 PM,29.689847,121.28259,Xikou,cloudy,icy,low,distracted driving,heavy,motorcycle,42,Male
1/10/2015,9:08 PM,56.0633738,14.5468659,Sölvesborg,rainy,wet,high,speeding,moderate,truck,21,Non-binary
4/21/2001,5:47 PM,61.1035855,23.179484,Urjala,snowy,snowy,high,speeding,heavy,sedan,69,Female
9/25/2013,11:45 PM,14.3705235,120.8168869,Halayhay,rainy,dry,low,distracted driving,light,SUV,73,Female
5/23/2011,6:43 PM,55.7711903,37.6232011,Urazovo,sunny,icy,medium,weather conditions,moderate,truck,94,Male
11/29/2016,10:37 AM,-8.6091128,122.7781579,Riangbaring,sunny,snowy,medium,weather conditions,light,SUV,90,Male
3/29/2020,11:24 AM,-28.7523,19.295048,Pofadder,rainy,dry,low,distracted driving,moderate,motorcycle,38,Female
12/4/2002,11:55 AM,59.3972707,17.9158275,Spånga,rainy,icy,medium,speeding,light,motorcycle,82,Male
9/13/2000,9:33 PM,10.277766,123.85681,El Pardo,snowy,wet,medium,speeding,moderate,truck,67,Female
4/6/2010,6:38 AM,-34.8702993,-71.1664033,Teno,cloudy,snowy,medium,weather conditions,light,SUV,78,Male
11/10/2015,8:37 AM,24.741184,69.792969,Mithi,snowy,wet,low,speeding,moderate,sedan,65,Male
12/25/2011,3:46 AM,16.9126068,121.622089,Diamantina,snowy,dry,high,speeding,light,SUV,89,Female
11/27/2012,6:24 PM,10.1197024,-69.0393069,Sabana de Parra,snowy,dry,high,speeding,moderate,sedan,29,Female
10/26/2018,4:43 AM,12.6583137,-87.1672193,El Viejo,rainy,icy,high,weather conditions,moderate,truck,72,Agender
8/5/2020,7:02 PM,41.9339521,74.5404694,Chayek,snowy,wet,medium,speeding,moderate,truck,29,Female
6/26/2019,12:10 PM,-10.5971,121.8889,Parajara,snowy,dry,low,weather conditions,heavy,sedan,31,Bigender
7/5/2016,6:43 PM,48.2166359,20.2934524,Ózd,rainy,dry,medium,speeding,heavy,motorcycle,42,Female
6/25/2005,2:23 AM,16.73333,51.48333,Al Qurḩ,snowy,wet,medium,speeding,heavy,truck,77,Male
6/16/2017,7:12 AM,1.4862816,124.8381456,Karangkeng,cloudy,snowy,medium,speeding,light,truck,65,Female
7/11/2014,6:40 PM,-29.3652193,-51.9580164,Arroio do Meio,sunny,dry,high,weather conditions,moderate,truck,50,Male
12/4/2003,4:52 AM,39.618469,117.407783,Heilangkou,sunny,dry,low,speeding,heavy,truck,24,Male
7/28/2022,2:00 PM,10.3759416,105.4185406,Long Xuyên,rainy,snowy,medium,speeding,light,SUV,70,Male
1/15/2000,6:40 PM,39.4365442,-9.2134149,Foz do Arelho,sunny,snowy,low,speeding,light,sedan,64,Male
7/8/2015,3:57 PM,-8.5262,120.2214,Wunat,cloudy,wet,medium,weather conditions,heavy,SUV,72,Female
2/28/2019,3:42 PM,1.968543,-157.3936469,Banraeaba Village,cloudy,wet,low,speeding,heavy,truck,64,Male
7/3/2005,7:09 PM,13.9289816,121.3567739,Paiisa,snowy,wet,low,distracted driving,heavy,motorcycle,30,Male
1/8/2019,12:36 PM,36.003739,106.287781,Yuanzhou,rainy,wet,high,speeding,light,truck,90,Male
6/21/2020,9:24 AM,49.8370072,13.5783393,Břasy,snowy,dry,low,weather conditions,moderate,truck,48,Female
10/1/2004,2:22 PM,36.776357,119.98842,Pingdu,cloudy,dry,low,weather conditions,moderate,motorcycle,36,Female
10/2/2004,10:45 AM,49.88477,127.5032,Kunheda Woerzu Manzu,rainy,dry,low,distracted driving,moderate,truck,58,Male
4/20/2017,11:59 AM,7.8357065,-80.3964824,Agua Buena,snowy,dry,low,distracted driving,moderate,motorcycle,30,Female
3/8/2019,11:23 PM,7.9877141,-10.8479688,Daru,sunny,wet,low,distracted driving,moderate,truck,47,Female
7/29/2019,4:51 AM,14.5925105,121.0404991,Pilar,cloudy,icy,high,distracted driving,moderate,SUV,21,Female
9/3/2019,9:33 PM,-12.257739,43.6723087,Hoani,rainy,snowy,high,speeding,moderate,truck,38,Male
9/29/2022,12:02 AM,34.0112004,71.9795856,Nowshera,sunny,snowy,low,speeding,moderate,truck,27,Male
3/4/2006,3:11 PM,12.5350875,124.7907837,Bugko,cloudy,icy,low,distracted driving,heavy,truck,26,Male
1/8/2002,10:46 AM,41.7644599,-72.6729522,Hartford,cloudy,snowy,high,weather conditions,heavy,SUV,64,Female
2/9/2008,9:48 PM,51.2845164,37.7994394,Staryy Oskol,cloudy,icy,low,weather conditions,moderate,sedan,92,Female
7/11/2022,11:02 PM,39.6003316,20.3077691,Filiátes,snowy,icy,low,speeding,moderate,SUV,69,Male
3/12/2015,9:40 AM,-24.5415767,-56.8198691,Itacurubí del Rosario,cloudy,icy,low,speeding,heavy,motorcycle,65,Male
8/23/2018,5:47 AM,-22.4939375,-47.4294326,Cordeirópolis,snowy,snowy,medium,distracted driving,moderate,SUV,94,Genderfluid
12/7/2000,9:49 PM,7.9819727,-81.166481,Río de Jesús,rainy,snowy,high,distracted driving,moderate,motorcycle,72,Bigender
9/21/2000,10:47 AM,-1.7232202,105.471249,Mislak,rainy,wet,high,distracted driving,heavy,motorcycle,40,Male
4/22/2009,12:27 PM,41.9539849,21.0134768,Brvenica,sunny,dry,low,weather conditions,light,sedan,49,Polygender
7/25/2019,12:51 PM,41.3389801,-8.1591621,Cimo de Vila,snowy,icy,high,speeding,heavy,motorcycle,74,Female
3/13/2012,12:46 AM,38.135288,114.397004,Dahe,snowy,dry,low,speeding,heavy,motorcycle,46,Male
5/7/2012,11:09 AM,16.0641802,108.1873407,Thanh Khê,snowy,snowy,low,distracted driving,light,truck,92,Polygender
4/1/2006,8:42 AM,45.3106092,41.0495422,Temizhbekskaya,cloudy,wet,low,weather conditions,light,motorcycle,27,Male
4/21/2003,10:16 AM,-7.13386,113.51997,Temorlorong,snowy,icy,low,weather conditions,light,truck,39,Male
1/14/2017,8:16 AM,-9.8374219,124.5915966,Anin,snowy,dry,low,distracted driving,moderate,SUV,29,Male
6/16/2007,4:19 PM,-6.813931,108.1784455,Panyingkiran,snowy,icy,medium,distracted driving,moderate,truck,56,Male
2/10/2014,8:02 PM,39.975999,116.317558,Huangzhuang,rainy,snowy,medium,speeding,heavy,truck,60,Female
2/12/2016,5:01 PM,44.0179842,1.3585474,Montauban,rainy,dry,high,speeding,heavy,sedan,71,Female
8/15/2007,3:00 PM,33.6682421,-117.7659237,Irvine,snowy,snowy,high,weather conditions,light,truck,88,Male
4/7/2007,10:34 PM,37.0862154,127.0391832,Osan,snowy,icy,low,speeding,heavy,SUV,37,Male
1/23/2002,10:28 PM,30.531919,117.115101,Anqing,snowy,snowy,high,distracted driving,heavy,sedan,38,Female
6/8/2002,12:00 AM,28.563927,108.50387,Yanhe,sunny,snowy,medium,weather conditions,heavy,truck,50,Female
7/8/2002,1:17 PM,32.271335,121.293439,Bingfang,rainy,snowy,low,speeding,heavy,SUV,68,Male
9/19/2009,4:46 AM,36.0624707,-86.7768273,Nashville,snowy,icy,low,distracted driving,heavy,SUV,90,Female
1/27/2018,11:44 AM,38.6871727,-9.3264629,Feitoria,sunny,wet,low,distracted driving,heavy,motorcycle,23,Female
12/2/2003,5:30 PM,49.7287057,20.1353402,Kasina Wielka,snowy,dry,high,distracted driving,light,motorcycle,58,Male
11/26/2015,5:06 PM,44.8722614,64.764401,Ilyich,snowy,wet,medium,speeding,heavy,SUV,46,Male
2/8/2010,8:57 PM,36.3063646,127.5712809,Okcheon,cloudy,dry,medium,speeding,moderate,motorcycle,36,Male
7/16/2003,2:36 PM,46.0474907,-74.2739552,Sainte-Agathe-des-Monts,snowy,wet,medium,weather conditions,heavy,sedan,68,Male
6/25/2003,2:02 AM,38.2800079,21.8330106,Río,sunny,icy,low,weather conditions,heavy,motorcycle,59,Female
7/31/2010,7:21 AM,-32.90269,18.7671299,Piketberg,cloudy,snowy,low,speeding,light,truck,55,Female
11/26/2013,2:15 PM,-6.4525359,-37.4894776,São Bento,snowy,dry,low,weather conditions,light,sedan,69,Female
2/11/2016,10:14 PM,56.6175886,104.1948978,Zheleznogorsk-Ilimskiy,sunny,icy,low,speeding,light,SUV,56,Female
10/26/2009,5:42 PM,34.520447,50.0059337,Āshtīān,sunny,dry,low,speeding,heavy,SUV,64,Female
4/24/2007,9:35 AM,7.2466086,16.4346979,Paoua,rainy,dry,high,weather conditions,moderate,sedan,81,Male
2/26/2017,1:48 PM,30.015509,73.2192788,Bahāwalnagar,snowy,dry,high,weather conditions,heavy,truck,68,Female
6/27/2006,2:00 PM,-22.4186285,-50.5745694,Paraguaçu Paulista,snowy,dry,medium,speeding,moderate,truck,42,Female
4/1/2018,12:46 PM,36.13848,36.61247,Qarqania,rainy,snowy,medium,distracted driving,light,sedan,80,Male
2/21/2004,10:38 PM,0.6782274,34.1865669,Tororo,cloudy,snowy,medium,distracted driving,heavy,SUV,36,Female
4/30/2021,4:52 PM,-7.5888579,108.2674092,Lengkongbarang,cloudy,snowy,medium,weather conditions,moderate,SUV,29,Female
1/4/2019,6:10 AM,-8.2197304,-37.7237678,Custódia,rainy,wet,low,speeding,moderate,sedan,88,Female
7/15/2006,11:54 AM,37.189822,112.176206,Pingyao,rainy,icy,low,distracted driving,heavy,truck,22,Female
10/29/2013,6:18 PM,45.1253665,42.0223291,Mayskiy,snowy,icy,low,distracted driving,moderate,sedan,23,Female
9/6/2021,4:54 PM,52.6052298,48.9659955,Khvorostyanka,sunny,snowy,low,weather conditions,heavy,SUV,46,Male
1/19/2014,4:00 PM,-25.692754,29.4306557,Botshabelo,rainy,wet,high,speeding,light,sedan,52,Male
3/2/2021,7:30 AM,16.13422,101.04465,Sanom,sunny,wet,medium,distracted driving,heavy,SUV,45,Male
4/14/2022,6:18 AM,-8.2665992,113.9774369,Kalibaru,snowy,snowy,low,distracted driving,moderate,SUV,21,Male
5/4/2004,3:38 PM,9.546837,1.193264,Kara,sunny,icy,low,distracted driving,light,sedan,72,Female
2/27/2008,3:13 PM,32.7348953,-117.0970596,San Diego,rainy,wet,low,weather conditions,moderate,sedan,92,Male
10/30/2020,10:26 AM,-23.8611302,35.3411388,Maxixe,snowy,dry,low,weather conditions,moderate,truck,33,Female
10/29/2022,2:31 AM,49.03201,2.080691,Cergy-Pontoise,cloudy,wet,medium,speeding,heavy,sedan,93,Male
10/12/2021,1:11 PM,30.368126,102.814531,Baoxing,cloudy,wet,medium,weather conditions,moderate,truck,95,Non-binary
2/9/2014,10:20 PM,-34.7133717,-58.7231685,Coronda,sunny,wet,low,distracted driving,moderate,sedan,84,Polygender
2/5/2011,5:07 AM,49.3996493,37.0642852,Savyntsi,rainy,icy,low,weather conditions,moderate,SUV,70,Male
7/2/2017,5:32 AM,-34.6090822,-56.3628409,Los Cerrillos,sunny,wet,low,distracted driving,moderate,sedan,49,Female
2/12/2022,5:52 PM,3.2093353,101.6716295,Kuching,sunny,icy,medium,weather conditions,light,truck,43,Genderfluid
7/14/2015,5:05 PM,7.8005358,-80.7463852,Las Minas,rainy,dry,low,distracted driving,light,sedan,91,Male
11/20/2006,3:51 AM,47.53708,19.127509,Budapest,sunny,icy,low,distracted driving,moderate,sedan,18,Female
3/21/2004,4:54 AM,-0.4960508,101.866362,Cerenti,snowy,dry,high,distracted driving,moderate,motorcycle,53,Female
4/11/2010,7:04 AM,14.3839328,121.050126,Santo Niño,rainy,wet,medium,distracted driving,heavy,SUV,50,Female
3/27/2015,6:47 PM,7.916433,124.200182,Balindong,rainy,icy,high,speeding,heavy,motorcycle,45,Male
11/8/2017,2:47 AM,50.5193689,41.6704075,Nekhayevskiy,sunny,icy,low,speeding,light,truck,24,Male
9/21/2007,4:32 AM,44.1509604,15.5846313,Pridraga,cloudy,icy,high,weather conditions,moderate,SUV,99,Female
3/27/2007,3:10 PM,30.070453,115.944218,Huangmei,cloudy,dry,low,weather conditions,moderate,motorcycle,45,Female
9/16/2008,4:26 AM,7.9187344,125.3297787,San Fernando,rainy,wet,high,speeding,heavy,motorcycle,81,Polygender
4/17/2011,11:54 PM,11.462476,122.7807,Bailan,cloudy,snowy,low,weather conditions,moderate,SUV,29,Non-binary
5/23/2016,12:28 AM,-5.4736254,104.6471221,Kotaagung,rainy,wet,low,distracted driving,heavy,sedan,60,Female
11/21/2021,5:59 AM,13.7192,123.6675,Maagnas,snowy,dry,medium,speeding,light,truck,20,Female
11/24/2018,8:57 PM,-22.5698961,-49.0817124,Agudos,snowy,wet,low,speeding,moderate,SUV,64,Female
11/12/2001,4:36 AM,53.903083,10.7533775,Lübeck,snowy,icy,medium,speeding,moderate,truck,67,Male
10/7/2022,11:44 PM,25.2898918,32.5522304,Isnā,cloudy,icy,high,distracted driving,moderate,motorcycle,67,Female
2/10/2002,6:46 AM,41.0562367,-8.2439651,Fornos,rainy,dry,high,distracted driving,moderate,SUV,25,Male
6/14/2018,3:22 AM,59.3092322,18.0807273,Stockholm,rainy,icy,high,weather conditions,moderate,truck,94,Male
1/29/2018,6:37 AM,-7.5450262,111.6556388,Krajan,sunny,icy,low,weather conditions,light,truck,32,Female
6/16/2010,8:50 PM,25.635605,102.57997,Dasongshu,sunny,snowy,low,speeding,light,SUV,40,Male
12/5/2010,2:30 PM,-7.3571693,108.1132212,Singaparna,snowy,snowy,high,weather conditions,heavy,sedan,28,Female
6/22/2020,4:34 AM,35.604681,39.8193219,At Tibnī,rainy,wet,high,speeding,moderate,truck,71,Female
8/27/2006,9:34 PM,25.9182262,13.9260001,Murzuq,sunny,wet,high,weather conditions,light,truck,69,Male
10/18/2003,8:18 PM,0.1840524,100.1255164,Lubuk Sikaping,rainy,wet,medium,distracted driving,moderate,SUV,67,Male
1/6/2020,5:10 PM,-25.979821,-52.5678016,Coronel Vivida,rainy,dry,medium,distracted driving,heavy,sedan,33,Male
12/2/2006,9:41 AM,27.087637,114.964696,Ji’an,snowy,snowy,high,weather conditions,heavy,motorcycle,55,Female
10/5/2020,12:55 AM,32.7674911,22.2324406,Al Qubbah,rainy,dry,low,speeding,moderate,truck,49,Male
4/30/2008,6:03 PM,37.235499,-93.2478638,Springfield,cloudy,wet,high,distracted driving,light,sedan,57,Male
3/4/2002,9:47 PM,30.961094,113.922251,Pengxing,sunny,icy,high,distracted driving,light,sedan,46,Male
4/3/2001,11:02 PM,-7.4547836,110.5781567,Ngenden,snowy,wet,high,speeding,light,SUV,23,Female
8/31/2015,6:12 AM,39.9916667,116.4238458,Fangtang,cloudy,wet,low,distracted driving,light,truck,30,Female
3/9/2018,2:32 AM,29.60548,111.877499,Jinshi,cloudy,dry,medium,distracted driving,moderate,motorcycle,64,Polygender
12/23/2013,2:25 PM,29.985295,122.207215,Shouzhan,sunny,dry,medium,speeding,moderate,motorcycle,36,Male
2/7/2013,8:34 AM,-3.3472662,120.3089541,Bajo,sunny,dry,medium,weather conditions,light,motorcycle,41,Female
6/15/2003,10:04 AM,-7.1221059,106.5701927,Cihaur,sunny,wet,medium,speeding,moderate,sedan,97,Female
7/2/2013,6:46 AM,3.649442,-76.567956,La Cumbre,rainy,snowy,high,distracted driving,moderate,SUV,29,Female
5/21/2020,3:32 PM,13.3913889,-16.6525,Abuko,rainy,wet,high,distracted driving,moderate,truck,97,Female
4/14/2014,2:28 AM,35.70178,65.23055,Sar Chakān,rainy,snowy,high,distracted driving,moderate,SUV,36,Male
3/11/2005,1:49 AM,-18.841761,47.703579,Anjepy,cloudy,icy,low,weather conditions,light,sedan,34,Male
8/4/2016,3:09 PM,52.8208769,21.2097479,Szelków,sunny,snowy,medium,speeding,moderate,sedan,40,Female
12/30/2014,6:26 PM,59.0295207,10.0664589,Larvik,cloudy,dry,medium,speeding,light,motorcycle,44,Male
8/20/2003,4:26 AM,28.541342,98.633013,Mainri,rainy,wet,low,speeding,light,motorcycle,90,Female
8/7/2011,1:47 PM,13.4522814,101.1815568,Phanat Nikhom,snowy,wet,medium,distracted driving,heavy,truck,52,Male
4/26/2017,6:31 AM,50.0257144,22.3320424,Markowa,cloudy,snowy,high,speeding,light,sedan,87,Female
11/24/2015,2:21 PM,15.1074513,37.5907446,Barentu,sunny,wet,high,weather conditions,light,SUV,47,Female
11/21/2013,11:54 AM,11.5484585,8.8583309,Garko,snowy,wet,high,weather conditions,light,truck,43,Male
8/17/2016,9:12 AM,-26.8947924,-48.6550692,Navegantes,rainy,wet,high,weather conditions,moderate,motorcycle,100,Male
10/7/2019,1:26 PM,51.857861,16.8415115,Krzemieniewo,rainy,wet,low,distracted driving,moderate,motorcycle,83,Male
